rand,Mod 64,Mod 32,Mod 16,Mod 8
343,23,23,7,7
632,56,24,8,0
112,48,16,0,0
393,9,9,9,1
12,12,12,12,4
628,52,20,4,4
984,24,24,8,0
347,27,27,11,3
588,12,12,12,4
106,42,10,10,2
543,31,31,15,7
5,5,5,5,5
414,30,30,14,6
199,7,7,7,7
328,8,8,8,0
986,26,26,10,2
914,18,18,2,2
464,16,16,0,0
423,39,7,7,7
158,30,30,14,6
953,57,25,9,1
531,19,19,3,3
183,55,23,7,7
228,36,4,4,4
330,10,10,10,2
142,14,14,14,6
808,40,8,8,0
958,62,30,14,6
607,31,31,15,7
428,44,12,12,4
830,62,30,14,6
875,43,11,11,3
619,43,11,11,3
625,49,17,1,1
109,45,13,13,5
634,58,26,10,2
652,12,12,12,4
562,50,18,2,2
530,18,18,2,2
26,26,26,10,2
480,32,0,0,0
46,46,14,14,6
828,60,28,12,4
791,23,23,7,7
4,4,4,4,4
646,6,6,6,6
586,10,10,10,2
615,39,7,7,7
254,62,30,14,6
716,12,12,12,4
539,27,27,11,3
62,62,30,14,6
965,5,5,5,5
450,2,2,2,2
759,55,23,7,7
306,50,18,2,2
468,20,20,4,4
40,40,8,8,0
182,54,22,6,6
612,36,4,4,4
695,55,23,7,7
912,16,16,0,0
870,38,6,6,6
307,51,19,3,3
839,7,7,7,7
657,17,17,1,1
238,46,14,14,6
33,33,1,1,1
193,1,1,1,1
500,52,20,4,4
529,17,17,1,1
927,31,31,15,7
673,33,1,1,1
467,19,19,3,3
16,16,16,0,0
421,37,5,5,5
991,31,31,15,7
294,38,6,6,6
331,11,11,11,3
526,14,14,14,6
20,20,20,4,4
279,23,23,7,7
384,0,0,0,0
100,36,4,4,4
100,36,4,4,4
316,60,28,12,4
75,11,11,11,3
143,15,15,15,7
742,38,6,6,6
430,46,14,14,6
418,34,2,2,2
820,52,20,4,4
804,36,4,4,4
530,18,18,2,2
58,58,26,10,2
871,39,7,7,7
963,3,3,3,3
304,48,16,0,0
677,37,5,5,5
872,40,8,8,0
144,16,16,0,0
538,26,26,10,2
592,16,16,0,0
320,0,0,0,0
93,29,29,13,5
611,35,3,3,3
106,42,10,10,2
370,50,18,2,2
105,41,9,9,1
860,28,28,12,4
509,61,29,13,5
372,52,20,4,4
627,51,19,3,3
447,63,31,15,7
210,18,18,2,2
284,28,28,12,4
465,17,17,1,1
591,15,15,15,7
822,54,22,6,6
741,37,5,5,5
718,14,14,14,6
570,58,26,10,2
939,43,11,11,3
282,26,26,10,2
264,8,8,8,0
432,48,16,0,0
677,37,5,5,5
818,50,18,2,2
641,1,1,1,1
652,12,12,12,4
491,43,11,11,3
531,19,19,3,3
827,59,27,11,3
982,22,22,6,6
806,38,6,6,6
958,62,30,14,6
549,37,5,5,5
405,21,21,5,5
564,52,20,4,4
441,57,25,9,1
441,57,25,9,1
318,62,30,14,6
504,56,24,8,0
429,45,13,13,5
759,55,23,7,7
970,10,10,10,2
440,56,24,8,0
86,22,22,6,6
36,36,4,4,4
570,58,26,10,2
881,49,17,1,1
594,18,18,2,2
323,3,3,3,3
628,52,20,4,4
482,34,2,2,2
258,2,2,2,2
269,13,13,13,5
738,34,2,2,2
91,27,27,11,3
631,55,23,7,7
507,59,27,11,3
685,45,13,13,5
7,7,7,7,7
208,16,16,0,0
52,52,20,4,4
917,21,21,5,5
548,36,4,4,4
189,61,29,13,5
596,20,20,4,4
587,11,11,11,3
606,30,30,14,6
813,45,13,13,5
512,0,0,0,0
5,5,5,5,5
478,30,30,14,6
339,19,19,3,3
795,27,27,11,3
340,20,20,4,4
270,14,14,14,6
391,7,7,7,7
974,14,14,14,6
877,45,13,13,5
700,60,28,12,4
756,52,20,4,4
888,56,24,8,0
457,9,9,9,1
452,4,4,4,4
336,16,16,0,0
342,22,22,6,6
130,2,2,2,2
328,8,8,8,0
935,39,7,7,7
105,41,9,9,1
88,24,24,8,0
525,13,13,13,5
597,21,21,5,5
162,34,2,2,2
385,1,1,1,1
345,25,25,9,1
70,6,6,6,6
908,12,12,12,4
930,34,2,2,2
657,17,17,1,1
797,29,29,13,5
609,33,1,1,1
378,58,26,10,2
843,11,11,11,3
985,25,25,9,1
293,37,5,5,5
915,19,19,3,3
88,24,24,8,0
296,40,8,8,0
640,0,0,0,0
796,28,28,12,4
764,60,28,12,4
369,49,17,1,1
786,18,18,2,2
988,28,28,12,4
731,27,27,11,3
817,49,17,1,1
34,34,2,2,2
420,36,4,4,4
279,23,23,7,7
274,18,18,2,2
510,62,30,14,6
745,41,9,9,1
839,7,7,7,7
378,58,26,10,2
611,35,3,3,3
539,27,27,11,3
681,41,9,9,1
58,58,26,10,2
29,29,29,13,5
774,6,6,6,6
471,23,23,7,7
273,17,17,1,1
183,55,23,7,7
636,60,28,12,4
171,43,11,11,3
46,46,14,14,6
537,25,25,9,1
150,22,22,6,6
948,52,20,4,4
722,18,18,2,2
840,8,8,8,0
14,14,14,14,6
179,51,19,3,3
876,44,12,12,4
809,41,9,9,1
868,36,4,4,4
98,34,2,2,2
292,36,4,4,4
851,19,19,3,3
981,21,21,5,5
587,11,11,11,3
721,17,17,1,1
332,12,12,12,4
538,26,26,10,2
510,62,30,14,6
493,45,13,13,5
479,31,31,15,7
330,10,10,10,2
710,6,6,6,6
149,21,21,5,5
442,58,26,10,2
933,37,5,5,5
305,49,17,1,1
416,32,0,0,0
113,49,17,1,1
251,59,27,11,3
148,20,20,4,4
251,59,27,11,3
247,55,23,7,7
603,27,27,11,3
980,20,20,4,4
877,45,13,13,5
256,0,0,0,0
752,48,16,0,0
522,10,10,10,2
32,32,0,0,0
675,35,3,3,3
929,33,1,1,1
921,25,25,9,1
204,12,12,12,4
436,52,20,4,4
860,28,28,12,4
907,11,11,11,3
325,5,5,5,5
551,39,7,7,7
399,15,15,15,7
208,16,16,0,0
733,29,29,13,5
258,2,2,2,2
493,45,13,13,5
731,27,27,11,3
408,24,24,8,0
279,23,23,7,7
805,37,5,5,5
585,9,9,9,1
984,24,24,8,0
103,39,7,7,7
212,20,20,4,4
329,9,9,9,1
934,38,6,6,6
225,33,1,1,1
894,62,30,14,6
744,40,8,8,0
374,54,22,6,6
286,30,30,14,6
455,7,7,7,7
899,3,3,3,3
695,55,23,7,7
817,49,17,1,1
436,52,20,4,4
404,20,20,4,4
969,9,9,9,1
390,6,6,6,6
261,5,5,5,5
638,62,30,14,6
277,21,21,5,5
388,4,4,4,4
355,35,3,3,3
459,11,11,11,3
122,58,26,10,2
245,53,21,5,5
592,16,16,0,0
224,32,0,0,0
510,62,30,14,6
675,35,3,3,3
692,52,20,4,4
210,18,18,2,2
364,44,12,12,4
315,59,27,11,3
19,19,19,3,3
252,60,28,12,4
889,57,25,9,1
428,44,12,12,4
498,50,18,2,2
920,24,24,8,0
889,57,25,9,1
676,36,4,4,4
821,53,21,5,5
592,16,16,0,0
857,25,25,9,1
561,49,17,1,1
277,21,21,5,5
373,53,21,5,5
518,6,6,6,6
645,5,5,5,5
549,37,5,5,5
278,22,22,6,6
679,39,7,7,7
741,37,5,5,5
487,39,7,7,7
719,15,15,15,7
877,45,13,13,5
60,60,28,12,4
394,10,10,10,2
487,39,7,7,7
255,63,31,15,7
899,3,3,3,3
522,10,10,10,2
43,43,11,11,3
668,28,28,12,4
922,26,26,10,2
283,27,27,11,3
130,2,2,2,2
360,40,8,8,0
80,16,16,0,0
202,10,10,10,2
868,36,4,4,4
2,2,2,2,2
334,14,14,14,6
401,17,17,1,1
778,10,10,10,2
17,17,17,1,1
343,23,23,7,7
237,45,13,13,5
572,60,28,12,4
688,48,16,0,0
564,52,20,4,4
375,55,23,7,7
922,26,26,10,2
892,60,28,12,4
663,23,23,7,7
344,24,24,8,0
568,56,24,8,0
970,10,10,10,2
106,42,10,10,2
121,57,25,9,1
695,55,23,7,7
189,61,29,13,5
806,38,6,6,6
735,31,31,15,7
582,6,6,6,6
694,54,22,6,6
246,54,22,6,6
156,28,28,12,4
273,17,17,1,1
294,38,6,6,6
393,9,9,9,1
401,17,17,1,1
673,33,1,1,1
900,4,4,4,4
324,4,4,4,4
141,13,13,13,5
828,60,28,12,4
947,51,19,3,3
595,19,19,3,3
87,23,23,7,7
497,49,17,1,1
248,56,24,8,0
737,33,1,1,1
299,43,11,11,3
438,54,22,6,6
250,58,26,10,2
385,1,1,1,1
387,3,3,3,3
188,60,28,12,4
187,59,27,11,3
96,32,0,0,0
501,53,21,5,5
49,49,17,1,1
240,48,16,0,0
398,14,14,14,6
308,52,20,4,4
898,2,2,2,2
641,1,1,1,1
849,17,17,1,1
332,12,12,12,4
909,13,13,13,5
967,7,7,7,7
876,44,12,12,4
802,34,2,2,2
20,20,20,4,4
664,24,24,8,0
62,62,30,14,6
387,3,3,3,3
829,61,29,13,5
25,25,25,9,1
107,43,11,11,3
554,42,10,10,2
960,0,0,0,0
816,48,16,0,0
753,49,17,1,1
506,58,26,10,2
185,57,25,9,1
423,39,7,7,7
183,55,23,7,7
376,56,24,8,0
970,10,10,10,2
189,61,29,13,5
995,35,3,3,3
532,20,20,4,4
950,54,22,6,6
828,60,28,12,4
894,62,30,14,6
745,41,9,9,1
138,10,10,10,2
896,0,0,0,0
97,33,1,1,1
440,56,24,8,0
217,25,25,9,1
235,43,11,11,3
788,20,20,4,4
737,33,1,1,1
38,38,6,6,6
504,56,24,8,0
227,35,3,3,3
817,49,17,1,1
38,38,6,6,6
573,61,29,13,5
404,20,20,4,4
806,38,6,6,6
666,26,26,10,2
577,1,1,1,1
15,15,15,15,7
629,53,21,5,5
571,59,27,11,3
471,23,23,7,7
125,61,29,13,5
740,36,4,4,4
305,49,17,1,1
513,1,1,1,1
981,21,21,5,5
243,51,19,3,3
234,42,10,10,2
474,26,26,10,2
871,39,7,7,7
788,20,20,4,4
981,21,21,5,5
687,47,15,15,7
270,14,14,14,6
70,6,6,6,6
507,59,27,11,3
340,20,20,4,4
900,4,4,4,4
952,56,24,8,0
69,5,5,5,5
302,46,14,14,6
559,47,15,15,7
672,32,0,0,0
296,40,8,8,0
469,21,21,5,5
759,55,23,7,7
741,37,5,5,5
164,36,4,4,4
815,47,15,15,7
690,50,18,2,2
863,31,31,15,7
11,11,11,11,3
474,26,26,10,2
267,11,11,11,3
329,9,9,9,1
149,21,21,5,5
439,55,23,7,7
312,56,24,8,0
512,0,0,0,0
103,39,7,7,7
714,10,10,10,2
718,14,14,14,6
468,20,20,4,4
988,28,28,12,4
142,14,14,14,6
549,37,5,5,5
332,12,12,12,4
627,51,19,3,3
342,22,22,6,6
866,34,2,2,2
516,4,4,4,4
963,3,3,3,3
974,14,14,14,6
348,28,28,12,4
87,23,23,7,7
663,23,23,7,7
35,35,3,3,3
903,7,7,7,7
322,2,2,2,2
169,41,9,9,1
326,6,6,6,6
926,30,30,14,6
146,18,18,2,2
279,23,23,7,7
169,41,9,9,1
681,41,9,9,1
541,29,29,13,5
982,22,22,6,6
925,29,29,13,5
292,36,4,4,4
518,6,6,6,6
201,9,9,9,1
956,60,28,12,4
183,55,23,7,7
522,10,10,10,2
885,53,21,5,5
428,44,12,12,4
713,9,9,9,1
118,54,22,6,6
104,40,8,8,0
321,1,1,1,1
149,21,21,5,5
211,19,19,3,3
713,9,9,9,1
406,22,22,6,6
433,49,17,1,1
211,19,19,3,3
385,1,1,1,1
882,50,18,2,2
497,49,17,1,1
739,35,3,3,3
852,20,20,4,4
805,37,5,5,5
167,39,7,7,7
249,57,25,9,1
57,57,25,9,1
274,18,18,2,2
820,52,20,4,4
371,51,19,3,3
647,7,7,7,7
708,4,4,4,4
506,58,26,10,2
550,38,6,6,6
349,29,29,13,5
251,59,27,11,3
593,17,17,1,1
111,47,15,15,7
459,11,11,11,3
493,45,13,13,5
705,1,1,1,1
193,1,1,1,1
652,12,12,12,4
330,10,10,10,2
568,56,24,8,0
841,9,9,9,1
542,30,30,14,6
760,56,24,8,0
563,51,19,3,3
583,7,7,7,7
272,16,16,0,0
740,36,4,4,4
844,12,12,12,4
460,12,12,12,4
623,47,15,15,7
993,33,1,1,1
34,34,2,2,2
108,44,12,12,4
15,15,15,15,7
24,24,24,8,0
813,45,13,13,5
569,57,25,9,1
111,47,15,15,7
142,14,14,14,6
119,55,23,7,7
951,55,23,7,7
275,19,19,3,3
484,36,4,4,4
32,32,0,0,0
661,21,21,5,5
235,43,11,11,3
118,54,22,6,6
614,38,6,6,6
989,29,29,13,5
155,27,27,11,3
707,3,3,3,3
975,15,15,15,7
728,24,24,8,0
1,1,1,1,1
95,31,31,15,7
173,45,13,13,5
674,34,2,2,2
202,10,10,10,2
871,39,7,7,7
47,47,15,15,7
146,18,18,2,2
245,53,21,5,5
44,44,12,12,4
664,24,24,8,0
748,44,12,12,4
632,56,24,8,0
613,37,5,5,5
637,61,29,13,5
459,11,11,11,3
104,40,8,8,0
474,26,26,10,2
900,4,4,4,4
806,38,6,6,6
832,0,0,0,0
361,41,9,9,1
204,12,12,12,4
949,53,21,5,5
89,25,25,9,1
840,8,8,8,0
161,33,1,1,1
460,12,12,12,4
70,6,6,6,6
861,29,29,13,5
112,48,16,0,0
993,33,1,1,1
349,29,29,13,5
369,49,17,1,1
898,2,2,2,2
238,46,14,14,6
157,29,29,13,5
213,21,21,5,5
472,24,24,8,0
858,26,26,10,2
984,24,24,8,0
124,60,28,12,4
842,10,10,10,2
407,23,23,7,7
194,2,2,2,2
319,63,31,15,7
955,59,27,11,3
74,10,10,10,2
330,10,10,10,2
779,11,11,11,3
863,31,31,15,7
655,15,15,15,7
832,0,0,0,0
573,61,29,13,5
230,38,6,6,6
597,21,21,5,5
559,47,15,15,7
73,9,9,9,1
980,20,20,4,4
544,32,0,0,0
629,53,21,5,5
402,18,18,2,2
552,40,8,8,0
333,13,13,13,5
779,11,11,11,3
373,53,21,5,5
710,6,6,6,6
85,21,21,5,5
688,48,16,0,0
521,9,9,9,1
625,49,17,1,1
164,36,4,4,4
476,28,28,12,4
96,32,0,0,0
224,32,0,0,0
579,3,3,3,3
782,14,14,14,6
615,39,7,7,7
668,28,28,12,4
312,56,24,8,0
645,5,5,5,5
460,12,12,12,4
538,26,26,10,2
874,42,10,10,2
805,37,5,5,5
34,34,2,2,2
733,29,29,13,5
695,55,23,7,7
276,20,20,4,4
242,50,18,2,2
916,20,20,4,4
320,0,0,0,0
306,50,18,2,2
48,48,16,0,0
526,14,14,14,6
980,20,20,4,4
479,31,31,15,7
803,35,3,3,3
756,52,20,4,4
693,53,21,5,5
897,1,1,1,1
976,16,16,0,0
588,12,12,12,4
945,49,17,1,1
652,12,12,12,4
10,10,10,10,2
137,9,9,9,1
333,13,13,13,5
385,1,1,1,1
513,1,1,1,1
714,10,10,10,2
978,18,18,2,2
160,32,0,0,0
578,2,2,2,2
958,62,30,14,6
530,18,18,2,2
777,9,9,9,1
16,16,16,0,0
996,36,4,4,4
902,6,6,6,6
980,20,20,4,4
551,39,7,7,7
761,57,25,9,1
862,30,30,14,6
399,15,15,15,7
851,19,19,3,3
933,37,5,5,5
970,10,10,10,2
560,48,16,0,0
768,0,0,0,0
894,62,30,14,6
931,35,3,3,3
599,23,23,7,7
6,6,6,6,6
778,10,10,10,2
189,61,29,13,5
826,58,26,10,2
816,48,16,0,0
759,55,23,7,7
763,59,27,11,3
424,40,8,8,0
240,48,16,0,0
856,24,24,8,0
51,51,19,3,3
590,14,14,14,6
790,22,22,6,6
41,41,9,9,1
363,43,11,11,3
648,8,8,8,0
814,46,14,14,6
568,56,24,8,0
196,4,4,4,4
289,33,1,1,1
29,29,29,13,5
879,47,15,15,7
320,0,0,0,0
713,9,9,9,1
678,38,6,6,6
292,36,4,4,4
740,36,4,4,4
786,18,18,2,2
853,21,21,5,5
38,38,6,6,6
857,25,25,9,1
390,6,6,6,6
540,28,28,12,4
273,17,17,1,1
697,57,25,9,1
865,33,1,1,1
343,23,23,7,7
737,33,1,1,1
249,57,25,9,1
147,19,19,3,3
810,42,10,10,2
556,44,12,12,4
920,24,24,8,0
168,40,8,8,0
769,1,1,1,1
533,21,21,5,5
485,37,5,5,5
595,19,19,3,3
914,18,18,2,2
965,5,5,5,5
44,44,12,12,4
611,35,3,3,3
713,9,9,9,1
192,0,0,0,0
582,6,6,6,6
483,35,3,3,3
969,9,9,9,1
944,48,16,0,0
919,23,23,7,7
661,21,21,5,5
174,46,14,14,6
356,36,4,4,4
982,22,22,6,6
473,25,25,9,1
330,10,10,10,2
822,54,22,6,6
357,37,5,5,5
366,46,14,14,6
191,63,31,15,7
248,56,24,8,0
617,41,9,9,1
847,15,15,15,7
150,22,22,6,6
471,23,23,7,7
534,22,22,6,6
528,16,16,0,0
94,30,30,14,6
242,50,18,2,2
821,53,21,5,5
341,21,21,5,5
712,8,8,8,0
200,8,8,8,0
636,60,28,12,4
355,35,3,3,3
473,25,25,9,1
28,28,28,12,4
715,11,11,11,3
149,21,21,5,5
504,56,24,8,0
977,17,17,1,1
732,28,28,12,4
282,26,26,10,2
373,53,21,5,5
657,17,17,1,1
605,29,29,13,5
294,38,6,6,6
580,4,4,4,4
645,5,5,5,5
163,35,3,3,3
665,25,25,9,1
836,4,4,4,4
878,46,14,14,6
755,51,19,3,3
521,9,9,9,1
225,33,1,1,1
682,42,10,10,2
912,16,16,0,0
226,34,2,2,2
158,30,30,14,6
238,46,14,14,6
779,11,11,11,3
556,44,12,12,4
526,14,14,14,6
566,54,22,6,6
796,28,28,12,4
861,29,29,13,5
630,54,22,6,6
188,60,28,12,4
914,18,18,2,2
906,10,10,10,2
146,18,18,2,2
9,9,9,9,1
589,13,13,13,5
878,46,14,14,6
905,9,9,9,1
959,63,31,15,7
454,6,6,6,6
29,29,29,13,5
964,4,4,4,4
727,23,23,7,7
995,35,3,3,3
873,41,9,9,1
786,18,18,2,2
898,2,2,2,2
167,39,7,7,7
915,19,19,3,3
696,56,24,8,0
126,62,30,14,6
303,47,15,15,7
244,52,20,4,4
609,33,1,1,1
331,11,11,11,3
274,18,18,2,2
748,44,12,12,4
708,4,4,4,4
577,1,1,1,1
972,12,12,12,4
175,47,15,15,7
801,33,1,1,1
998,38,6,6,6
367,47,15,15,7
826,58,26,10,2
734,30,30,14,6
48,48,16,0,0
351,31,31,15,7
278,22,22,6,6
287,31,31,15,7
54,54,22,6,6
414,30,30,14,6
826,58,26,10,2
854,22,22,6,6
483,35,3,3,3
211,19,19,3,3
357,37,5,5,5
750,46,14,14,6
995,35,3,3,3
596,20,20,4,4
6,6,6,6,6
339,19,19,3,3
703,63,31,15,7
147,19,19,3,3
397,13,13,13,5
576,0,0,0,0
131,3,3,3,3
762,58,26,10,2
925,29,29,13,5
840,8,8,8,0
170,42,10,10,2
443,59,27,11,3
733,29,29,13,5
41,41,9,9,1
571,59,27,11,3
176,48,16,0,0
546,34,2,2,2
536,24,24,8,0
25,25,25,9,1
718,14,14,14,6
177,49,17,1,1
363,43,11,11,3
415,31,31,15,7
877,45,13,13,5
81,17,17,1,1
715,11,11,11,3
331,11,11,11,3
789,21,21,5,5
13,13,13,13,5
743,39,7,7,7
143,15,15,15,7
689,49,17,1,1
79,15,15,15,7
740,36,4,4,4
759,55,23,7,7
999,39,7,7,7
297,41,9,9,1
935,39,7,7,7
687,47,15,15,7
919,23,23,7,7
803,35,3,3,3
265,9,9,9,1
872,40,8,8,0
350,30,30,14,6
396,12,12,12,4
499,51,19,3,3
902,6,6,6,6
714,10,10,10,2
767,63,31,15,7
596,20,20,4,4
303,47,15,15,7
521,9,9,9,1
680,40,8,8,0
328,8,8,8,0
47,47,15,15,7
299,43,11,11,3
263,7,7,7,7
177,49,17,1,1
155,27,27,11,3
521,9,9,9,1
926,30,30,14,6
826,58,26,10,2
397,13,13,13,5
356,36,4,4,4
863,31,31,15,7
682,42,10,10,2
648,8,8,8,0
897,1,1,1,1
414,30,30,14,6
834,2,2,2,2
567,55,23,7,7
928,32,0,0,0
169,41,9,9,1
466,18,18,2,2
680,40,8,8,0
672,32,0,0,0
988,28,28,12,4
193,1,1,1,1
652,12,12,12,4
407,23,23,7,7
553,41,9,9,1
62,62,30,14,6
258,2,2,2,2
53,53,21,5,5
662,22,22,6,6
870,38,6,6,6
68,4,4,4,4
334,14,14,14,6
329,9,9,9,1
889,57,25,9,1
658,18,18,2,2
697,57,25,9,1
635,59,27,11,3
587,11,11,11,3
978,18,18,2,2
781,13,13,13,5
354,34,2,2,2
798,30,30,14,6
331,11,11,11,3
589,13,13,13,5
426,42,10,10,2
273,17,17,1,1
327,7,7,7,7
548,36,4,4,4
310,54,22,6,6
167,39,7,7,7
125,61,29,13,5
593,17,17,1,1
815,47,15,15,7
658,18,18,2,2
857,25,25,9,1
915,19,19,3,3
385,1,1,1,1
65,1,1,1,1
350,30,30,14,6
173,45,13,13,5
119,55,23,7,7
627,51,19,3,3
761,57,25,9,1
482,34,2,2,2
229,37,5,5,5
928,32,0,0,0
343,23,23,7,7
194,2,2,2,2
696,56,24,8,0
817,49,17,1,1
973,13,13,13,5
238,46,14,14,6
545,33,1,1,1
804,36,4,4,4
340,20,20,4,4
153,25,25,9,1
171,43,11,11,3
690,50,18,2,2
130,2,2,2,2
674,34,2,2,2
241,49,17,1,1
208,16,16,0,0
591,15,15,15,7
684,44,12,12,4
148,20,20,4,4
284,28,28,12,4
446,62,30,14,6
815,47,15,15,7
984,24,24,8,0
829,61,29,13,5
636,60,28,12,4
182,54,22,6,6
703,63,31,15,7
619,43,11,11,3
807,39,7,7,7
817,49,17,1,1
902,6,6,6,6
294,38,6,6,6
17,17,17,1,1
466,18,18,2,2
660,20,20,4,4
334,14,14,14,6
589,13,13,13,5
492,44,12,12,4
401,17,17,1,1
445,61,29,13,5
474,26,26,10,2
909,13,13,13,5
342,22,22,6,6
749,45,13,13,5
841,9,9,9,1
884,52,20,4,4
204,12,12,12,4
708,4,4,4,4
121,57,25,9,1
275,19,19,3,3
561,49,17,1,1
965,5,5,5,5
239,47,15,15,7
459,11,11,11,3
543,31,31,15,7
885,53,21,5,5
109,45,13,13,5
421,37,5,5,5
699,59,27,11,3
221,29,29,13,5
681,41,9,9,1
322,2,2,2,2
891,59,27,11,3
4,4,4,4,4
882,50,18,2,2
411,27,27,11,3
212,20,20,4,4
60,60,28,12,4
38,38,6,6,6
480,32,0,0,0
877,45,13,13,5
760,56,24,8,0
137,9,9,9,1
736,32,0,0,0
622,46,14,14,6
725,21,21,5,5
620,44,12,12,4
868,36,4,4,4
239,47,15,15,7
607,31,31,15,7
485,37,5,5,5
95,31,31,15,7
858,26,26,10,2
160,32,0,0,0
760,56,24,8,0
717,13,13,13,5
232,40,8,8,0
241,49,17,1,1
285,29,29,13,5
434,50,18,2,2
92,28,28,12,4
735,31,31,15,7
96,32,0,0,0
146,18,18,2,2
141,13,13,13,5
209,17,17,1,1
851,19,19,3,3
71,7,7,7,7
603,27,27,11,3
357,37,5,5,5
717,13,13,13,5
405,21,21,5,5
145,17,17,1,1
843,11,11,11,3
569,57,25,9,1
234,42,10,10,2
900,4,4,4,4
307,51,19,3,3
191,63,31,15,7
848,16,16,0,0
198,6,6,6,6
902,6,6,6,6
196,4,4,4,4
257,1,1,1,1
155,27,27,11,3
322,2,2,2,2
178,50,18,2,2
31,31,31,15,7
164,36,4,4,4
427,43,11,11,3
843,11,11,11,3
385,1,1,1,1
356,36,4,4,4
323,3,3,3,3
161,33,1,1,1
988,28,28,12,4
453,5,5,5,5
717,13,13,13,5
269,13,13,13,5
124,60,28,12,4
393,9,9,9,1
212,20,20,4,4
681,41,9,9,1
951,55,23,7,7
707,3,3,3,3
204,12,12,12,4
924,28,28,12,4
367,47,15,15,7
203,11,11,11,3
711,7,7,7,7
723,19,19,3,3
55,55,23,7,7
576,0,0,0,0
912,16,16,0,0
520,8,8,8,0
813,45,13,13,5
929,33,1,1,1
344,24,24,8,0
710,6,6,6,6
865,33,1,1,1
986,26,26,10,2
309,53,21,5,5
258,2,2,2,2
262,6,6,6,6
545,33,1,1,1
760,56,24,8,0
576,0,0,0,0
702,62,30,14,6
555,43,11,11,3
884,52,20,4,4
54,54,22,6,6
367,47,15,15,7
468,20,20,4,4
874,42,10,10,2
848,16,16,0,0
702,62,30,14,6
5,5,5,5,5
618,42,10,10,2
683,43,11,11,3
442,58,26,10,2
340,20,20,4,4
818,50,18,2,2
300,44,12,12,4
279,23,23,7,7
306,50,18,2,2
43,43,11,11,3
207,15,15,15,7
70,6,6,6,6
720,16,16,0,0
362,42,10,10,2
335,15,15,15,7
657,17,17,1,1
562,50,18,2,2
479,31,31,15,7
829,61,29,13,5
976,16,16,0,0
148,20,20,4,4
127,63,31,15,7
748,44,12,12,4
953,57,25,9,1
275,19,19,3,3
782,14,14,14,6
59,59,27,11,3
180,52,20,4,4
529,17,17,1,1
307,51,19,3,3
620,44,12,12,4
671,31,31,15,7
676,36,4,4,4
766,62,30,14,6
602,26,26,10,2
437,53,21,5,5
200,8,8,8,0
989,29,29,13,5
48,48,16,0,0
643,3,3,3,3
223,31,31,15,7
715,11,11,11,3
378,58,26,10,2
436,52,20,4,4
1,1,1,1,1
994,34,2,2,2
793,25,25,9,1
98,34,2,2,2
602,26,26,10,2
318,62,30,14,6
906,10,10,10,2
980,20,20,4,4
818,50,18,2,2
491,43,11,11,3
56,56,24,8,0
677,37,5,5,5
38,38,6,6,6
277,21,21,5,5
723,19,19,3,3
412,28,28,12,4
544,32,0,0,0
151,23,23,7,7
858,26,26,10,2
755,51,19,3,3
763,59,27,11,3
841,9,9,9,1
446,62,30,14,6
104,40,8,8,0
227,35,3,3,3
911,15,15,15,7
776,8,8,8,0
889,57,25,9,1
222,30,30,14,6
191,63,31,15,7
678,38,6,6,6
862,30,30,14,6
355,35,3,3,3
60,60,28,12,4
266,10,10,10,2
59,59,27,11,3
405,21,21,5,5
731,27,27,11,3
948,52,20,4,4
958,62,30,14,6
788,20,20,4,4
388,4,4,4,4
128,0,0,0,0
503,55,23,7,7
666,26,26,10,2
921,25,25,9,1
613,37,5,5,5
395,11,11,11,3
547,35,3,3,3
609,33,1,1,1
534,22,22,6,6
403,19,19,3,3
958,62,30,14,6
749,45,13,13,5
414,30,30,14,6
841,9,9,9,1
711,7,7,7,7
988,28,28,12,4
381,61,29,13,5
429,45,13,13,5
385,1,1,1,1
819,51,19,3,3
995,35,3,3,3
407,23,23,7,7
372,52,20,4,4
846,14,14,14,6
64,0,0,0,0
589,13,13,13,5
446,62,30,14,6
738,34,2,2,2
538,26,26,10,2
749,45,13,13,5
207,15,15,15,7
35,35,3,3,3
180,52,20,4,4
136,8,8,8,0
727,23,23,7,7
221,29,29,13,5
684,44,12,12,4
585,9,9,9,1
238,46,14,14,6
197,5,5,5,5
733,29,29,13,5
320,0,0,0,0
843,11,11,11,3
29,29,29,13,5
174,46,14,14,6
194,2,2,2,2
15,15,15,15,7
992,32,0,0,0
704,0,0,0,0
57,57,25,9,1
542,30,30,14,6
751,47,15,15,7
800,32,0,0,0
544,32,0,0,0
947,51,19,3,3
973,13,13,13,5
104,40,8,8,0
890,58,26,10,2
126,62,30,14,6
878,46,14,14,6
760,56,24,8,0
177,49,17,1,1
942,46,14,14,6
232,40,8,8,0
847,15,15,15,7
46,46,14,14,6
920,24,24,8,0
545,33,1,1,1
801,33,1,1,1
525,13,13,13,5
587,11,11,11,3
612,36,4,4,4
943,47,15,15,7
994,34,2,2,2
591,15,15,15,7
167,39,7,7,7
516,4,4,4,4
290,34,2,2,2
431,47,15,15,7
83,19,19,3,3
122,58,26,10,2
721,17,17,1,1
358,38,6,6,6
733,29,29,13,5
155,27,27,11,3
474,26,26,10,2
448,0,0,0,0
640,0,0,0,0
141,13,13,13,5
45,45,13,13,5
976,16,16,0,0
320,0,0,0,0
845,13,13,13,5
648,8,8,8,0
448,0,0,0,0
303,47,15,15,7
800,32,0,0,0
